class	Structured comment name	Preferred unit	Frequency
air	air_PM_concen	microgram per cubic meter	0.5
food-farm environment	air_PM_concen	micrograms per cubic meter	0.5
microbial mat/biofilm	alkyl_diethers	mole per liter	0.6666666666666666
sediment	alkyl_diethers	mole per liter	0.6666666666666666
water	alkyl_diethers	mole per liter, microgram per gram sample	0.3333333333333333
microbial mat/biofilm	bacteria_carb_prod	nanogram per hour	0.6666666666666666
sediment	bacteria_carb_prod	nanogram per hour	0.6666666666666666
water	bacteria_carb_prod	nanogram per hour, microgram per liter per hour	0.3333333333333333
hydrocarbon resources-cores	diss_inorg_phosp	microgram per liter, milligram per liter, parts per million	0.6666666666666666
hydrocarbon resources-fluids/swabs	diss_inorg_phosp	microgram per liter, milligram per liter, parts per million	0.6666666666666666
water	diss_inorg_phosp	microgram per liter, milligram per liter, parts per million, micromole per liter	0.3333333333333333
microbial mat/biofilm	diss_org_nitro	microgram per liter, milligram per liter	0.75
miscellaneous natural or artificial environment	diss_org_nitro	microgram per liter, milligram per liter	0.75
sediment	diss_org_nitro	microgram per liter, milligram per liter	0.75
water	diss_org_nitro	micromole per liter, microgram per liter, milligram per liter	0.25
plant-associated	host_common_name	 	0.25
agriculture	host_common_name		0.75
host-associated	host_common_name		0.75
symbiont-associated	host_common_name		0.75
air	humidity	gram per cubic meter	0.3333333333333333
agriculture	humidity	percentage	0.6666666666666666
food-farm environment	humidity	percentage	0.6666666666666666
microbial mat/biofilm	n_alkanes	micromole per liter	0.6666666666666666
sediment	n_alkanes	micromole per liter	0.6666666666666666
water	n_alkanes	micromole per liter, milligram per liter	0.3333333333333333
microbial mat/biofilm	org_carb	micromole per liter	0.75
miscellaneous natural or artificial environment	org_carb	micromole per liter	0.75
sediment	org_carb	micromole per liter	0.75
water	org_carb	micromole per liter, microgram per liter	0.25
microbial mat/biofilm	org_nitro	microgram per liter	0.8
miscellaneous natural or artificial environment	org_nitro	microgram per liter	0.8
sediment	org_nitro	microgram per liter	0.8
soil	org_nitro	microgram per liter	0.8
water	org_nitro	microgram per liter, micromole per liter	0.2
food-animal and animal feed	organism_count	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
food-farm environment	organism_count	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
food-food production facility	organism_count	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
food-human foods	organism_count	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
agriculture	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
air	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
built environment	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
host-associated	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-associated	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-gut	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-oral	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
